,Time,X,Y,X Vel,Y Vel,Yaw
52,7.636994,1002.7042236328125,8.698147773742676,6.435371398925781,-0.17959487438201904,-1.0198973417282104
53,7.762614,1002.7042236328125,8.698147773742676,6.435371398925781,-0.17959487438201904,-1.0198973417282104
54,7.903205,1003.3760986328125,8.680624961853027,6.93337345123291,-0.21332959830760956,-1.2377012968063354
55,8.035997,1004.0958251953125,8.659655570983887,7.399051189422607,-0.24837203323841095,-1.4531861543655396
56,8.179403,1004.0958251953125,8.659655570983887,7.399051189422607,-0.24837203323841095,-1.4531861543655396
57,8.320696,1004.8611450195312,8.635075569152832,7.842730522155762,-0.2844030559062958,-1.662323236465454
58,8.460597,1005.669921875,8.606767654418945,8.27083969116211,-0.32106468081474304,-1.861785650253296
59,8.603275,1005.669921875,8.606767654418945,8.27083969116211,-0.32106468081474304,-1.861785650253296
60,8.7475,1006.5208129882812,8.574660301208496,8.687372207641602,-0.35799190402030945,-2.049072504043579
61,8.895087,1007.4132080078125,8.538722038269043,9.094834327697754,-0.3948204219341278,-2.2222900390625
62,9.031811,1008.3458251953125,8.498969078063965,9.494812965393066,-0.431205689907074,-2.380157232284546
63,9.170204,1008.3458251953125,8.498969078063965,9.494812965393066,-0.431205689907074,-2.380157232284546
64,9.323217,1009.318359375,8.455451965332031,9.888334274291992,-0.4668321907520294,-2.521850347518921
65,9.462528,1010.3297729492188,8.408257484436035,10.276074409484863,-0.5014278888702393,-2.647094488143921
66,9.605479,1010.3297729492188,8.408257484436035,10.276074409484863,-0.5014278888702393,-2.647094488143921
67,9.763329,1011.379638671875,8.357501983642578,10.658487319946289,-0.5347641110420227,-2.756012439727783
68,9.90396,1012.4674682617188,8.303324699401855,11.035889625549316,-0.5666682720184326,-2.849059820175171
69,10.057,1012.4674682617188,8.303324699401855,11.035889625549316,-0.5666682720184326,-2.849059820175171
70,10.208406,1013.5928955078125,8.245881080627441,11.408506393432617,-0.5970171093940735,-2.9270334243774414
71,10.371449,1014.7550659179688,8.185341835021973,11.77649974822998,-0.6257410049438477,-2.990967273712158
72,10.522669,1015.9524536132812,8.108875274658203,12.11740779876709,-0.8767603039741516,-3.415924549102783
73,10.675194,1015.9524536132812,8.108875274658203,12.11740779876709,-0.8767603039741516,-3.415924549102783
74,10.833862,1017.1845092773438,8.016312599182129,12.46096134185791,-1.0636966228485107,-4.159333229064941
75,10.983434,1018.4506225585938,7.905660152435303,12.796101570129395,-1.2729976177215576,-5.027956485748291
76,11.137327,1019.7500610351562,7.774425506591797,13.124024391174316,-1.4904338121414185,-5.929721355438232
77,11.282244,1019.7500610351562,7.774425506591797,13.124024391174316,-1.4904338121414185,-5.929721355438232
78,11.461103,1021.0822143554688,7.621891498565674,13.446659088134766,-1.7022837400436401,-6.79370641708374
79,11.611105,1022.446533203125,7.44843053817749,13.765324592590332,-1.9016454219818115,-7.5695576667785645
80,11.782091,1023.8424072265625,7.2552714347839355,14.08145523071289,-2.0823254585266113,-8.226938247680664
81,11.942995,1023.8424072265625,7.2552714347839355,14.08145523071289,-2.0823254585266113,-8.226938247680664
82,12.101581,1025.269775390625,7.044283390045166,14.396223068237305,-2.2402093410491943,-8.750773429870605
83,12.268112,1026.728515625,6.817752361297607,14.710413932800293,-2.3732218742370605,-9.138440132141113
84,12.42334,1028.2186279296875,6.578164577484131,15.02441120147705,-2.481052875518799,-9.396652221679688
85,12.586854,1028.2186279296875,6.578164577484131,15.02441120147705,-2.481052875518799,-9.396652221679688
86,12.75035,1029.7398681640625,6.328024864196777,15.338226318359375,-2.5649001598358154,-9.538861274719238
87,12.929051,1031.292236328125,6.069704532623291,15.651567459106445,-2.627145528793335,-9.58308219909668
88,13.098024,1032.875732421875,5.805325984954834,15.963946342468262,-2.671020030975342,-9.549543380737305
